Title,Cen_Desf,Fund_Teor,Clar_Res,Ilustr,Repos,Qualid,Total,QP_count,QPs
On the Use of Graph Neural Networks for Virtual Network Embedding,0,2,2,1,0,0,5,4,"QP1,QP2,QP6,QS2"
PairAug: What Can Augmented Image-Text Pairs Do for Radiology?,2,3,3,2,1,2,13,8,"QP1,QP3,QP6,QP7,QS1,QS2,QS3,QS4"
DiST-GAN: Distillation-based Semantic Transfer for Text-Guided Face Generation,0,2,3,2,0,2,9,4,"QP1,QP6,QP7,QS2"
SAND: Enhancing Open-Set Neuron Descriptions through Spatial Awareness,1,2,3,2,1,2,11,7,"QP1,QP5,QP6,QP7,QS1,QS2,QS4"
CAFuser: Condition-Aware Multimodal Fusion for Robust Semantic Perception,1,3,3,2,1,2,12,5,"QP1,QP5,QP6,QP7,QS2"
EmoGen: Emotional Image Content Generation with Text-to-Image Diffusion Models,0,3,3,2,1,2,11,6,"QP1,QP5,QP6,QP7,QS1,QS2"
TrTr-CMR: Cross-Modal Reasoning Dual Transformer for RS Image Captioning,1,2,3,2,1,2,11,6,"QP1,QP5,QP6,QS1,QS2,QS3"
Weakly Supervised Zero-Shot Medical Image Segmentation Using Pretrained Medical Language Models,2,2,2,2,0,2,10,6,"QP1,QP5,QP6,QS2,QS3,QS4"
ZeroCap: Zero-Shot Image-to-Text Generation for Visual-Semantic Arithmetic,2,3,2,2,1,2,12,7,"QP1,QP5,QP6,QP7,QS1,QS2,QS3"
I-AI: A Controllable and Interpretable AI System for Accurate CXR Diagnoses,1,2,3,2,1,2,11,8,"QP1,QP5,QP6,QP7,QS1,QS2,QS3,QS4"
Explain Me the Painting: Multi-Topic Knowledgeable Art Description Generation,1,2,2,2,1,2,10,7,"QP1,QP3,QP5,QP6,QS1,QS2,QS3"
A Proposal-Free One-Stage Framework for Referring Expression Comprehension and Generation,0,2,3,2,0,2,9,5,"QP1,QP5,QP6,QP7,QS2"
Knowledge-Driven Generative Adversarial Network for Text-to-Image Synthesis,0,3,3,2,1,2,11,7,"QP1,QP3,QP5,QP6,QP7,QS1,QS2"
CLISC: Bridging CLIP and SAM for Unsupervised Brain Tumor Segmentation,2,2,2,1,0,2,9,6,"QP1,QP3,QP5,QP6,QS3,QS4"
Sensor2Text: Enabling Natural Language Interactions for Daily Activity Tracking,1,2,1,1,0,0,5,3,"QP1,QP3,QP6"
Alleviating Hallucination in Large VLMs with Active Retrieval Augmentation,1,2,2,1,0,0,6,3,"QP1,QP4,QP6"
Solving Token Gradient Conflict in Mixture-of-Experts for Large VLM,0,2,2,1,1,0,6,3,"QP1,QP5,QP6"
Improving Concept Alignment in Vision-Language Concept Bottleneck Models,2,2,2,1,0,2,9,5,"QP1,QP3,QP6,QS3,QS4"
A Multimodal Automated Interpretability Agent,0,3,2,2,0,2,9,4,"QP1,QP4,QP5,QP6"
Diffexplainer: Towards Cross-modal Global Explanations with Diffusion Models,0,2,2,1,0,0,5,3,"QP1,QP5,QP6"
Development of Compositionality and Generalization through Interactive Learning,1,2,2,1,0,1,7,5,"QP1,QP5,QP6,QS1,QS3"
GeReA: Question-Aware Prompt Captions for KB-VQA,0,2,2,1,0,2,7,4,"QP1,QP5,QP6,QS1"
Question-Answer Cross Language Image Matching for Weakly Supervised Semantic Segmentation,1,2,2,1,1,2,9,4,"QP1,QP5,QP6,QS1"
Multimodal Foundation Models for Zero-shot Animal Species Recognition in Camera Trap Images,2,2,2,1,0,1,8,5,"QP1,QP3,QP4,QP6,QS3"
A Knowledge-Driven Cross-view Contrastive Learning for EEG Representation,2,2,2,1,0,1,8,5,"QP1,QP3,QP6,QS3,QS4"
Active Learning for Classifying 2D Grid-Based Level Completability,2,1,1,1,0,0,5,5,"QP1,QP4,QP6,QS1,QS3"
Text-based Person Search without Parallel Image-Text Data,2,2,2,1,0,1,8,4,"QP1,QP3,QP6,QS3"
MAGVLT: Masked Generative Vision-and-Language Transformer,0,3,2,1,0,0,6,3,"QP1,QP6,QP7"
ConTEXTual Net: Multimodal VL Model for Segmentation of Pneumothorax,1,2,2,2,1,2,10,5,"QP1,QP5,QP6,QS1,QS4"
Language with Vision: a Study on Grounded Word and Sentence Embeddings,0,2,2,1,1,1,7,5,"QP1,QP5,QP6,QS1,QS2"
Natural Language Descriptions of Deep Visual Features,1,3,3,2,1,2,12,5,"QP1,QP5,QP6,QS1,QS2"
Fine-Grained Image Captioning with Global-Local Discriminative Objective,0,2,2,2,1,1,8,5,"QP1,QP5,QP6,QP7,QS2"
Internal Activation Revision: Safeguarding VLMs Without Parameter Update,1,3,3,2,0,2,11,4,"QP1,QP5,QP6,QS2"
TiBiX: Leveraging Temporal Information for Bidirectional X-ray and Report Generation,1,2,2,2,1,2,10,5,"QP1,QP6,QP7,QS2,QS4"
LLM-CXR: Instruction-Finetuned LLM for CXR Understanding and Generation,1,2,2,2,1,2,10,6,"QP1,QP6,QP7,QS2,QS3,QS4"
Weakly supervised one-stage vision and language disease detection,2,2,2,2,0,1,9,6,"QP1,QP3,QP6,QS2,QS3,QS4"
Generation Of Colors using Bidirectional LSTM Networks,1,1,1,1,0,0,4,4,"QP1,QP4,QP6,QS3"
Deep Active Learning with Noise Stability,2,3,3,2,0,2,12,4,"QP1,QP4,QP6,QS1"
Designing Ecosystems of Intelligence from First Principles,0,2,1,1,0,0,4,3,"QP1,QP5,QP6"
DuSSS: Dual Semantic Similarity-Supervised VLM for Semi-Supervised Medical Image Segmentation,2,3,3,2,1,2,13,6,"QP1,QP3,QP6,QS2,QS3,QS4"
Semi-LLIE: Semi-supervised Contrastive Learning with Mamba-based Low-light Image Enhancement,2,2,3,2,1,2,12,4,"QP1,QP3,QP6,QS2"
