"Title","Cen_Desf","Fund_Teor","Clar_Res","Ilustr","Repos","Qualid","Total","QP_count","QPs"
"Vision-Language Pre-Training with Triple Contrastive Learning","1","3","3","2","1","2","12","5","QP1,QP6,QP7,QS1,QS2"
"Active Supervised Cross-Modal Retrieval","2","3","3","2","1","2","13","7","QP1,QP2,QP4,QP6,QP7,QS1,QS2"
"PairAug: What Can Augmented Image-Text Pairs Do for Radiology?","2","2","3","2","1","2","12","7","QP1,QP5,QP6,QP7,QS1,QS3,QS4"
"Grounded Language-Image Pre-training","1","3","3","2","1","2","12","7","QP1,QP3,QP6,QP7,QS1,QS2,QS3"
"Fashion Image Retrieval with Text Feedback by Additive Attention Compositional Learning","0","2","2","1","0","1","6","3","QP1,QP5,QP6"
"Vision-Language Navigation with Random Environmental Mixup","1","2","2","2","0","1","8","6","QP1,QP2,QP6,QP7,QS2,QS3"
"Knowledge-Embedded Mutual Guidance for Visual Reasoning","0","2","2","2","0","1","7","5","QP1,QP2,QP6,QP7,QS2"
"Cross-Modality Image Interpretation via Concept Decomposition Vector of Visual-Language Models","1","2","2","2","0","1","8","6","QP1,QP5,QP6,QP7,QS2,QS4"
"Cross-Modal Alternating Learning With Task-Aware Representations for Continual Learning","1","2","2","2","1","1","9","5","QP1,QP5,QP6,QS1,QS2"
"Dissecting Deep Metric Learning Losses for Image-Text Retrieval","0","2","3","2","1","1","9","4","QP1,QP6,QP7,QS2"
"Freeze the Backbones: a Parameter-Efficient Contrastive Approach to Robust Medical Vision-Language Pre-Training","2","2","2","2","1","2","11","6","QP1,QP5,QP6,QS2,QS3,QS4"
"Enhancing Medical Vision-Language Contrastive Learning via Inter-Matching Relation Modeling","1","3","3","2","0","2","11","8","QP1,QP2,QP5,QP6,QP7,QS1,QS2,QS4"
"Application of Vision-Language Models for Assessing Osteoarthritis","2","1","2","1","0","1","7","6","QP1,QP5,QP6,QP7,QS2,QS4"
"Vision-Language Pre-Training for Boosting Scene Text Detectors","0","2","2","2","1","1","8","5","QP1,QP5,QP6,QS1,QS2"
"MedFILIP: Medical Fine-Grained Language-Image Pre-Training","2","2","2","2","1","2","11","7","QP1,QP5,QP6,QP7,QS2,QS3,QS4"
"Set-level Guidance Attack: Boosting Adversarial Transferability of Vision-Language Pre-training Models","0","2","2","2","1","1","8","5","QP1,QP6,QP7,QS1,QS2"
"Contrasting Intra-Modal and Ranking Cross-Modal Hard Negatives to Enhance Visio-Linguistic Compositional Understanding","1","3","3","2","1","2","12","5","QP1,QP6,QP7,QS1,QS2"
"ULIP: Learning a Unified Representation of Language, Images, and Point Clouds for 3D Understanding","1","3","3","2","1","2","12","6","QP1,QP6,QP7,QS1,QS2,QS3"
"SyncMask: Synchronized Attentional Masking for Fashion-centric Vision-Language Pretraining","1","2","2","2","0","1","8","6","QP1,QP5,QP6,QP7,QS2,QS3"
"NAPReg: Nouns As Proxies Regularization for Semantically Aware Cross-Modal Embeddings","1","2","3","2","1","2","11","6","QP1,QP5,QP6,QP7,QS1,QS2"
"LiT: Zero-Shot Transfer with Locked-image text Tuning","2","3","3","2","0","2","12","3","QP1,QP6,QP7"
"De-noised Vision-language Fusion Guided by Visual Cues for E-commerce Product Search","0","2","2","1","0","1","6","3","QP1,QP5,QP6"
"Understanding and Constructing Latent Modality Structures in Multi-Modal Representation Learning","0","3","2","2","0","2","9","4","QP1,QP6,QP7,QS2"
"InVERGe: Intelligent Visual Encoder for Bridging Modalities in Report Generation","1","2","2","2","1","1","9","6","QP1,QP5,QP6,QS1,QS2,QS4"
"MoIL: Momentum Imitation Learning for Efficient Vision-Language Adaptation","1","2","3","2","0","2","10","6","QP1,QP5,QP6,QP7,QS1,QS2"
"MobileCLIP: Fast Image-Text Models through Multi-Modal Reinforced Training","0","3","3","2","1","2","11","5","QP1,QP6,QP7,QS1,QS2"
"Learning Customized Visual Models with Retrieval-Augmented Knowledge","2","3","3","2","1","2","13","7","QP1,QP3,QP6,QP7,QS1,QS3,QS4"
"Multilateral Semantic Relations Modeling for Image Text Retrieval","0","2","2","2","0","1","7","5","QP1,QP2,QP5,QP6,QS2"
"VisualGPT: Data-efficient Adaptation of Pretrained Language Models for Image Captioning","2","2","2","2","1","2","11","7","QP1,QP5,QP6,QS1,QS2,QS3,QS4"
"VL-MFER: A Vision-Language Multimodal Pretrained Model With Multiway-Fuzzy-Experts Bidirectional Retention Network","0","2","2","2","0","1","7","4","QP1,QP5,QP6,QS2"
"EyeGraphGPT: Knowledge Graph Enhanced Multimodal Large Language Model for Ophthalmic Report Generation","2","2","2","1","0","1","8","6","QP1,QP2,QP6,QP7,QS3,QS4"
"Knowledge Graph Enhanced Multimodal Transformer for Image-Text Retrieval","1","3","3","2","0","2","11","5","QP1,QP2,QP6,QP7,QS2"
"Explicit Cross-Modal Representation Learning for Visual Commonsense Reasoning","0","2","2","2","0","1","7","6","QP1,QP2,QP5,QP6,QP7,QS2"
"Learning Aligned Image-Text Representations Using Graph Attentive Relational Network","1","3","3","2","0","2","11","5","QP1,QP2,QP5,QP6,QS2"
"Cross-modal Semantic Enhanced Interaction for Image-Sentence Retrieval","1","3","3","2","0","2","11","5","QP1,QP2,QP5,QP6,QS2"
"Direction-Oriented Visual-Semantic Embedding Model for Remote Sensing Image-Text Retrieval","1","2","2","2","0","1","8","4","QP1,QP5,QP6,QS2"
"Efficient Token-Guided Image-Text Retrieval With Consistent Multimodal Contrastive Training","0","2","3","2","1","2","10","5","QP1,QP6,QP7,QS1,QS2"
"Context-Aware Local-Global Semantic Alignment for Remote Sensing Image-Text Retrieval","1","2","2","2","0","1","8","3","QP1,QP6,QP7"
"A Mutually Textual and Visual Refinement Network for Image-Text Matching","0","2","2","2","0","1","7","6","QP1,QP5,QP6,QP7,QS1,QS2"
"Learning from Inside: Self-driven Siamese Knowledge Generation for Chest X-rays Vision-Language Pre-training","2","3","3","2","1","2","13","7","QP1,QP5,QP6,QP7,QS1,QS2,QS4"
"News Image-Text Matching With News Knowledge Graph","0","2","2","1","0","1","6","3","QP1,QP2,QP6"
"IMRAM: Iterative Matching With Recurrent Attention Memory for Cross-Modal Image-Text Retrieval","0","3","3","2","1","2","11","5","QP1,QP5,QP6,QP7,QS1"
"Feature First: Advancing Image-Text Retrieval Through Improved Visual Features","0","2","2","2","1","1","8","6","QP1,QP2,QP5,QP6,QS1,QS2"
"Dynamic Graph Enhanced Contrastive Learning for Chest X-Ray Report Generation","2","3","3","2","1","2","13","7","QP1,QP2,QP6,QS1,QS2,QS3,QS4"
