"Title","Cen_Desf","Fund_Teor","Clar_Res","Ilustr","Repos","Qualid","Total","QP_count","QPs"
"Active Supervised Cross-Modal Retrieval","2","3","3","2","1","2","13","7","QP1,QP2,QP4,QP6,QP7,QS1,QS2"
"Vision-Language Pre-Training with Triple Contrastive Learning","1","3","3","2","1","2","12","4","QP1,QP6,QP7,QS1"
"Learning Structural Representations for Recipe Generation and Food Retrieval","0","2","2","2","1","1","8","6","QP1,QP2,QP6,QP7,QS1,QS2"
"Image-Text Embedding Learning via Visual and Textual Semantic Reasoning","1","2","3","2","1","2","11","7","QP1,QP2,QP5,QP6,QP7,QS1,QS2"
"Fashion Image Retrieval with Text Feedback by Additive Attention","0","2","2","1","0","1","6","3","QP1,QP5,QP6"
"Enhance Composed Image Retrieval via Multi-Level Collaborative Localization","1","3","3","2","0","2","11","3","QP1,QP5,QP6"
"You'll Never Walk Alone: Sketch and Text Duet for Fine-Grained Image Retrieval","2","2","2","2","1","1","10","6","QP1,QP5,QP6,QP7,QS1,QS3"
"SenseRAG: Constructing Environmental Knowledge Bases for LLM-Based Driving","0","2","2","2","0","1","7","3","QP1,QP6,QP7"
"Learning Semantic Structure Correlation for Cross-Modal Retrieval","0","2","2","2","0","1","7","5","QP1,QP2,QP6,QP7,QS2"
"Modality-Aware Representation Learning for Zero-shot Sketch-based Image Retrieval","2","2","2","2","0","1","9","6","QP1,QP3,QP6,QP7,QS2,QS3"
"Non-Contrastive Learning Meets Language-Image Pre-Training","2","3","3","2","1","2","13","7","QP1,QP3,QP5,QP6,QP7,QS1,QS2"
"Learning Customized Visual Models with Retrieval-Augmented Knowledge","2","3","3","2","1","2","13","7","QP1,QP3,QP6,QP7,QS1,QS3,QS4"
"UniRaG: Unification Retrieval and Generation for Multimodal QA","0","2","2","2","0","1","7","4","QP1,QP6,QP7,QS2"
"CoVLR: Coordinating Cross-Modal Consistency and Intra-Modal Relations","1","2","2","2","0","1","8","5","QP1,QP3,QP6,QP7,QS2"
"Enhancing Medical Vision-Language Contrastive Learning via Inter-Matching Relation","1","3","3","2","0","2","11","7","QP1,QP2,QP6,QP7,QS1,QS2,QS4"
"Scaling Dual Stage Image-Text Retrieval with Multimodal LLMs","0","2","3","2","1","2","10","6","QP1,QP6,QP7,QS1,QS2,QS3"
"Dissecting Deep Metric Learning Losses for Image-Text Retrieval","0","2","3","2","1","1","9","4","QP1,QP6,QP7,QS2"
"Multimodal Knowledge Graph VLMs for Precision Retrieval in Embedded Systems","1","1","2","1","0","1","6","6","QP1,QP2,QP3,QP6,QP7,QS3"
"Cross-Modal Recipe Retrieval With Fine-Grained Prompting Alignment","1","2","2","2","0","1","8","6","QP1,QP5,QP6,QP7,QS2,QS3"
"TinyCMR: Lightweight Learning Framework for Efficient Cross-Modal Retrieval","0","2","2","2","1","1","8","5","QP1,QP6,QP7,QS1,QS2"
"BCAN: Bidirectional Correct Attention Network for Cross-Modal Retrieval","0","2","2","2","0","1","7","4","QP1,QP6,QP7,QS2"
"Histopathology Cross-Modal Retrieval based on Dual-Transformer Network","2","2","2","1","0","1","8","4","QP1,QP6,QP7,QS4"
"Deep Ranking Distribution Preserving Hashing for Multi-Label Cross-Modal Retrieval","0","2","2","2","0","1","7","3","QP1,QP6,QP7"
"FAME-ViL: Multi-Tasking VLM for Heterogeneous Fashion Tasks","1","3","3","2","1","2","12","5","QP1,QP3,QP6,QP7,QS3"
"Knowledge-Aided Momentum Contrastive Learning for RS Image Text Retrieval","1","2","2","2","0","1","8","4","QP1,QP5,QP6,QP7"
"Region-based Cross-modal Retrieval","0","2","2","2","0","1","7","5","QP1,QP5,QP6,QP7,QS2"
"FashionFAE: Fine-grained Attributes Enhanced Fashion VLP","1","2","2","1","0","1","7","3","QP1,QP6,QP7"
"Person Re-ID With Self-Supervised Teacher for In-Box Noise","2","2","2","2","0","1","9","5","QP1,QP3,QP5,QP6,QP7"
"Understanding and Constructing Latent Modality Structures","0","3","2","2","0","2","9","3","QP1,QP6,QP7"
"Contrasting Intra-Modal and Ranking Cross-Modal Hard Negatives","1","3","3","2","1","2","12","4","QP1,QP6,QP7,QS1"
"NAPReg: Nouns As Proxies Regularization for Cross-Modal Embeddings","1","2","3","2","1","2","11","4","QP1,QP2,QP6,QP7"
"Towards Making a Trojan-Horse Attack on Text-to-Image Retrieval","0","2","2","2","1","1","8","5","QP1,QP6,QP7,QS1,QS2"
"PRIOR: Prototype Representation Joint Learning from Medical Images and Reports","2","3","3","2","1","2","13","7","QP1,QP3,QP6,QP7,QS1,QS3,QS4"
"Cross-modal Semantic Enhanced Interaction for Image-Sentence Retrieval","1","3","3","2","0","2","11","5","QP1,QP2,QP5,QP6,QP7"
"ViLNM: Visual-Language Noise Modeling for Text-to-Image Person Retrieval","0","2","2","2","1","1","8","5","QP1,QP6,QP7,QS1,QS2"
"Multilateral Semantic Relations Modeling for Image Text Retrieval","0","2","2","2","0","1","7","4","QP1,QP2,QP6,QP7"
"Sketch Less for More: On-the-Fly Fine-Grained Sketch-Based Image Retrieval","2","2","2","2","0","1","9","4","QP1,QP5,QP6,QP7"
"Context-Aware Local-Global Semantic Alignment for RS Image-Text Retrieval","1","2","2","2","0","1","8","4","QP1,QP6,QP7,QS2"
"Object Prior Embedded Network for Query-Agnostic Image Retrieval","1","2","2","2","0","1","8","5","QP1,QP6,QP7,QS2,QS3"
"MobileCLIP: Fast Image-Text Models through Multi-Modal Reinforced Training","0","3","3","2","1","2","11","5","QP1,QP3,QP6,QP7,QS2"
"Prompt Tuning Empowering Downstream Tasks in Multimodal Federated Learning","1","2","2","2","0","1","8","4","QP1,QP6,QP7,QS3"
"Global-Local Information Soft-Alignment for Cross-Modal RS Retrieval","1","2","2","2","0","1","8","5","QP1,QP6,QP7,QS2,QS3"
"Knowledge Graph Enhanced Multimodal Transformer for Image-Text Retrieval","1","3","3","2","0","2","11","4","QP1,QP2,QP6,QP7"
"IMRAM: Iterative Matching With Recurrent Attention Memory","0","3","3","2","1","2","11","4","QP1,QP6,QP7,QS2"
"Efficient Token-Guided Image-Text Retrieval With Consistent Multimodal Contrastive","0","2","3","2","1","2","10","3","QP1,QP6,QP7"
"Direction-Oriented Visual-Semantic Embedding for RS Image-Text Retrieval","1","2","2","2","0","1","8","5","QP1,QP5,QP6,QP7,QS2,QS3"
