"Title","Cen_Desf","Fund_Teor","Clar_Res","Ilustr","Repos","Qualid","Total","QP_count","QPs"
"Vision-Language Pre-Training with Triple Contrastive Learning","1","3","3","2","1","2","12","5","QP1,QP6,QP7,QS1,QS2"
"ZPVQA: Visual Question Answering Based on Zero-Shot Prompt Learning","2","2","2","2","0","1","9","6","QP1,QP5,QP6,QP7,QS2,QS3"
"Med-VQA: Performance Analysis of Question-Answering Systems on Medical Images","1","1","2","2","0","1","7","4","QP1,QP6,QS3,QS4"
"Multimodal Knowledge Graph Vision-Language Models for Precision Retrieval and Inference in Embedded Systems","2","3","3","2","0","2","12","6","QP1,QP2,QP6,QP7,QS2,QS3"
"CMACC: Cross-Modal Adversarial Contrastive Learning in VQA","1","3","2","2","0","2","10","4","QP1,QP6,QS2,QS3"
"A Semi-supervised Learning Approach for VQA based on Maximal Correlation","2","2","2","1","0","1","8","4","QP1,QP3,QP6,QS3"
"MHKD-MVQA: Multimodal Hierarchical Knowledge Distillation for Medical VQA","2","3","3","2","0","2","12","6","QP1,QP5,QP6,QS2,QS3,QS4"
"Adapting Pre-trained Language Models to VL Tasks via Dynamic Visual Prompting","0","3","3","2","1","2","11","5","QP1,QP6,QP7,QS1,QS2"
"BVQA: Connecting Language and Vision Through Multimodal Attention","1","2","2","1","1","1","8","6","QP1,QP6,QP7,QS1,QS2,QS3"
"Explicit Cross-Modal Representation Learning for Visual Commonsense Reasoning","1","3","2","2","0","2","10","4","QP1,QP2,QP6,QS2"
"Using MRF Hypergraph Transformer Method for VQA","0","2","2","2","0","1","7","3","QP1,QP2,QP6"
"FashionVQA: A Domain-Specific Visual Question Answering System","1","1","2","2","0","1","7","5","QP1,QP5,QP6,QP7,QS3"
"Stacked Hybrid-Attention and Group Collaborative Learning for Unbiased SGG","2","3","2","2","1","2","12","5","QP1,QP2,QP6,QS1,QS2"
"RingMoGPT: A Unified Remote Sensing Foundation Model","1","2","2","2","0","2","9","5","QP1,QP2,QP6,QP7,QS3"
"Query and Attention Augmentation for Knowledge-Based Explainable Reasoning","1","3","2","2","1","2","11","6","QP1,QP2,QP5,QP6,QS1,QS2"
"Answer-checking in Context: A Multi-modal Fully Attention Network for VQA","0","2","2","2","0","1","7","4","QP1,QP5,QP6,QS2"
"POP-VQA: Privacy preserving On-device Personalized VQA","1","2","2","2","0","1","8","3","QP1,QP2,QP6"
"Explainable VQA via Hybrid Neural-Logical Reasoning","0","3","2","2","0","1","8","3","QP1,QP5,QP6"
"TRAR: Routing the Attention Spans in Transformer for VQA","0","3","3","2","1","2","11","5","QP1,QP2,QP6,QS1,QS2"
"LOIS: Looking Out of Instance Semantics for VQA","1","2","2","2","1","2","10","5","QP1,QP5,QP6,QS1,QS2"
"Comprehensive VQA on Point Clouds (CLEVR3D)","1","2","2","2","1","2","10","6","QP1,QP2,QP6,QP7,QS1,QS2"
"Hierarchical Multimodality Graph Reasoning for Remote Sensing VQA","0","3","2","2","0","2","9","5","QP1,QP2,QP5,QP6,QS2"
"Q: How to Specialize Large VLMs to Data-Scarce VQA Tasks (SelTDA)","2","3","2","2","1","2","12","7","QP1,QP3,QP6,QS1,QS2,QS3,QS4"
"Scene Graph Refinement Network for VQA","1","2","3","2","0","2","10","3","QP1,QP2,QP6"
"Decouple Before Interact: Multi-Modal Prompt Learning for CL-VQA (TRIPLET)","2","3","3","2","0","2","12","4","QP1,QP6,QP7,QS2"
"S3C: Semi-Supervised VQA-NLE via Self-Critical Learning","2","3","3","2","0","2","12","6","QP1,QP3,QP5,QP6,QS1,QS2"
"LLaVA-PlantDiag: Vision-Language for Plant Pathology Diagnosis","1","1","1","2","0","1","6","5","QP1,QP5,QP6,QP7,QS3"
"Towards Better Vision-Inspired Vision-Language Models (VIVL)","0","3","3","2","0","2","10","4","QP1,QP6,QP7,QS2"
"Structural Causal Models and LLMs Integration in Medical VQA","2","3","2","2","0","2","11","5","QP1,QP5,QP6,QS3,QS4"
"CogAgent: A Visual Language Model for GUI Agents","0","2","3","2","1","2","10","5","QP1,QP6,QP7,QS1,QS2"
"VTQA: Visual Text Question Answering via Entity Alignment","0","2","2","2","1","2","9","3","QP1,QP5,QP6"
"So Many Heads So Many Wits: Multimodal Graph Reasoning Text-Based VQA","0","3","2","2","0","2","9","4","QP1,QP2,QP5,QP6"
"Multi-Modal Validation and Domain Interaction Learning for KB-VQA","1","3","2","2","0","2","10","5","QP1,QP2,QP5,QP6,QS2"
"MIVC: Multiple Instance Visual Component for VLMs","1","2","2","2","0","1","8","4","QP1,QP5,QP6,QP7"
"Top-Down Visual Attention from Analysis by Synthesis (AbSViT)","2","3","2","2","1","2","12","4","QP1,QP5,QP6,QP7"
"Beyond VQA: Generating Multi-word Answers and Rationales","1","2","2","2","0","1","8","3","QP1,QP6,QP7"
"Linguistically Routing Capsule Network for OOD VQA","2","3","2","2","0","2","11","4","QP1,QP2,QP5,QP7"
"Calibrating Concepts and Operations: Symbolic Reasoning on Real Images (CCO)","2","3","3","2","1","2","13","5","QP1,QP2,QP5,QP6,QP7"
"VLC-BERT: VQA with Contextualized Commonsense Knowledge","1","3","2","2","1","2","11","5","QP1,QP2,QP5,QP6,QP7"
"RMLVQA: Margin Loss for VQA with Language Biases","2","3","2","2","1","2","12","5","QP1,QP3,QP5,QP6,QP7"
"LaTr: Layout-Aware Transformer for Scene-Text VQA","1","3","3","2","0","2","11","4","QP1,QP2,QP6,QP7"
"Sparse And Structured Visual Attention","1","2","2","2","1","1","9","4","QP1,QP5,QP6,QP7"
"GeReA: Question-Aware Prompt Captions for KB-VQA","1","2","2","2","1","2","10","3","QP1,QP6,QP7"
"Surgical-VQLA: Gated Vision-Language for Robotic Surgery VQA","2","2","2","2","1","2","11","6","QP1,QP5,QP6,QP7,QS3,QS4"
"CuMo: Scaling Multimodal LLM with Co-Upcycled MoE","1","3","3","2","1","2","12","5","QP1,QP6,QP7,QS1,QS2"
"Med-MoE: Mixture of Domain-Specific Experts for Lightweight Medical VLMs","2","3","3","2","1","2","13","7","QP1,QP3,QP5,QP6,QP7,QS3,QS4"
"Hybrid Graph Reasoning With Dynamic Interaction for Visual Dialog","1","3","3","2","1","2","12","3","QP1,QP2,QP7"
